termLink,isDeprecated
http://eurovoc.europa.eu/174656,true
http://eurovoc.europa.eu/174759,true
http://eurovoc.europa.eu/174916,true
http://eurovoc.europa.eu/174962,true
http://eurovoc.europa.eu/175038,true
http://eurovoc.europa.eu/175424,true
http://eurovoc.europa.eu/175447,true
http://eurovoc.europa.eu/175618,true
http://eurovoc.europa.eu/176010,true
http://eurovoc.europa.eu/176654,true
http://eurovoc.europa.eu/177644,true
http://eurovoc.europa.eu/182281,true
http://eurovoc.europa.eu/4603,true
http://eurovoc.europa.eu/195964,true
http://eurovoc.europa.eu/3787,true
http://eurovoc.europa.eu/3812,true
http://eurovoc.europa.eu/5022,true
http://eurovoc.europa.eu/210451,true
http://eurovoc.europa.eu/5131,true
http://eurovoc.europa.eu/225341,true
http://eurovoc.europa.eu/239130,true
http://eurovoc.europa.eu/247058,true
http://eurovoc.europa.eu/447824,true
http://eurovoc.europa.eu/447826,true
http://eurovoc.europa.eu/447827,true
http://eurovoc.europa.eu/447832,true
http://eurovoc.europa.eu/447834,true
http://eurovoc.europa.eu/447836,true
http://eurovoc.europa.eu/447837,true
http://eurovoc.europa.eu/447841,true
http://eurovoc.europa.eu/447844,true
http://eurovoc.europa.eu/447845,true
http://eurovoc.europa.eu/447848,true
http://eurovoc.europa.eu/447850,true
http://eurovoc.europa.eu/447852,true
http://eurovoc.europa.eu/447854,true
http://eurovoc.europa.eu/447855,true
http://eurovoc.europa.eu/447857,true
http://eurovoc.europa.eu/447859,true
http://eurovoc.europa.eu/447862,true
http://eurovoc.europa.eu/447864,true
http://eurovoc.europa.eu/447866,true
http://eurovoc.europa.eu/447868,true
http://eurovoc.europa.eu/447915,true
http://eurovoc.europa.eu/447916,true
http://eurovoc.europa.eu/447918,true
http://eurovoc.europa.eu/263778,true
http://eurovoc.europa.eu/277356,true
http://eurovoc.europa.eu/5815,true
http://eurovoc.europa.eu/291795,true
http://eurovoc.europa.eu/306862,true
http://eurovoc.europa.eu/315162,true
http://eurovoc.europa.eu/328894,true
http://eurovoc.europa.eu/337518,true
http://eurovoc.europa.eu/351342,true
http://eurovoc.europa.eu/363931,true
http://eurovoc.europa.eu/376730,true
http://eurovoc.europa.eu/385301,true
http://eurovoc.europa.eu/398461,true
http://eurovoc.europa.eu/412529,true
http://eurovoc.europa.eu/xl_de_676f7c17,true
http://eurovoc.europa.eu/5567,true
